Device,Test Name,Test Status,Message(s),Test description,Test category
dc1-leaf1a,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc1-leaf1a: BGP inactive,Verifies the session state of BGP peers.,BGP
dc1-leaf1a,VerifyReachability,failure,Destination 10.255.255.0 (dc1-spine1_Ethernet1) from 10.255.255.1 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.2 (dc1-spine2_Ethernet1) from 10.255.255.3 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-leaf1a,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53966,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-leaf1a,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:54 dc1-leaf1a NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf1b,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc1-leaf1b: BGP inactive,Verifies the session state of BGP peers.,BGP
dc1-leaf1b,VerifyReachability,failure,Destination 10.255.255.4 (dc1-spine1_Ethernet2) from 10.255.255.5 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.6 (dc1-spine2_Ethernet2) from 10.255.255.7 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-leaf1b,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53966,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-leaf1b,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:54 dc1-leaf1b NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf1c,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53924,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-leaf1c,VerifyInterfacesStatus,failure,Interface: Port-Channel1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf1c,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:28:47 dc1-leaf1c NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf2a,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc1-leaf2a: BGP inactive,Verifies the session state of BGP peers.,BGP
dc1-leaf2a,VerifyLLDPNeighbors,failure,Port: Ethernet6 Neighbor: dc2-leaf2a Neighbor Port: Ethernet6 - Wrong LLDP neighbors: dc1-leaf2a.avd.lab/Ethernet6,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-leaf2a,VerifyReachability,failure,Destination 10.255.255.8 (dc1-spine1_Ethernet3) from 10.255.255.9 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.10 (dc1-spine2_Ethernet3) from 10.255.255.11 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 172.16.100.1 (dc2-leaf2a_Ethernet6) from 172.16.100.0 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-leaf2a,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53966,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-leaf2a,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf2a,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:54 dc1-leaf2a NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf2b,VerifyBGPPeerSession,failure,'show bgp neighbors vrf all' failed on dc1-leaf2b: BGP inactive,Verifies the session state of BGP peers.,BGP
dc1-leaf2b,VerifyLLDPNeighbors,failure,Port: Ethernet6 Neighbor: dc2-leaf2b Neighbor Port: Ethernet6 - Wrong LLDP neighbors: dc1-leaf2b.avd.lab/Ethernet6,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
dc1-leaf2b,VerifyReachability,failure,Destination 10.255.255.12 (dc1-spine1_Ethernet4) from 10.255.255.13 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 10.255.255.14 (dc1-spine2_Ethernet4) from 10.255.255.15 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 172.16.100.3 (dc2-leaf2b_Ethernet6) from 172.16.100.2 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
dc1-leaf2b,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53966,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
dc1-leaf2b,VerifyInterfacesStatus,failure,Interface: Loopback0 - Not configured - Interface: Loopback1 - Not configured - Interface: Loopback10 - Not configured - Interface: Loopback11 - Not configured - Interface: Port-Channel3 - Not configured - Interface: Port-Channel5 - Not configured - Interface: Port-Channel8 - Not configured - Interface: Vlan11 - Not configured - Interface: Vlan12 - Not configured - Interface: Vlan21 - Not configured - Interface: Vlan22 - Not configured - Interface: Vlan3009 - Not configured - Interface: Vlan3010 - Not configured - Interface: Vlan4093 - Not configured - Interface: Vlan4094 - Not configured - Interface: Vxlan1 - Not configured,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
dc1-leaf2b,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Jul 15 12:27:54 dc1-leaf2b NorCalInit: %HARDWARE-0-SYSTEM_IDENTIFICATION_FAILED: Failed to identify this system

",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
dc1-leaf2c,VerifyRunningConfigDiffs,failure,"--- flash:/startup-config
+++ system:/running-config
@@ -51,4 +51,11 @@
 ntp server vrf MGMT 1.pool.ntp.org
 ntp server vrf MGMT 2.pool.ntp.org
 !
+router multicast
+   ipv4
+      software-forwarding kernel
+   !
+   ipv6
+      software-forwarding kernel
+!
 end
",Verifies there is no difference between the running-config and the startup-config.,Configuration
dc1-leaf2c,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 53963,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
